"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL071C_mRNA",40.6969625875989,-0.481323873630007,0.454994617669919,-1.05786718114364,0.290115999285402,0.422217038684473
"YLL050C_mRNA",460.592930489296,0.104347581922228,0.178890350474393,0.583304698355795,0.559688200236395,0.680603187470889
"YMR172W_mRNA",56.7681257688057,0.0716959963612288,0.265133512457988,0.270414689175098,0.786841240589306,0.858347639045615
"YOR185C_mRNA",170.306347498578,1.18940181902037,0.171170649579495,6.948631800734,3.6884581207292e-12,9.20371951542585e-11
"YLL032C_mRNA",61.6394163415737,0.397366917098022,0.283965873076776,1.39934743845288,0.161708820517299,0.269997498534942
"YBR225W_mRNA",82.8156352166797,0.337325183493257,0.255281208872517,1.32138665819979,0.186372472348008,0.30098328327747
"YEL041W_mRNA",86.7342777389609,-0.521765553243792,0.275359346908376,-1.89485324940652,0.0581118462764372,0.120363686830085
"YOR237W_mRNA",11.5634026429467,-0.160130773591105,0.587753394132477,-0.272445510633686,0.785279483214989,0.857381802690198
"YMR027W_mRNA",280.153790440729,-0.0920027916582983,0.190403055637535,-0.483200184735697,0.628953604191185,0.738752398696021
"YBR182C-A_mRNA",3.24967011379226,-0.195884599400279,1.02683337544,-0.190765711444023,0.848709153602031,0.90042159617169
"YKL103C_mRNA",459.462737891298,1.69879577526483,0.265647213051218,6.39493166802881,1.60619168289406e-10,3.03881877199479e-09
"YOL048C_mRNA",53.1926802913807,1.23946309154774,0.309234949160635,4.0081597985999,6.11937102018258e-05,0.000366930686148696
"YIR015W_mRNA",28.6408276760745,1.10443618881527,0.399058544466607,2.76760441326095,0.00564699533126538,0.0178418027963908
"YNR017W_mRNA",75.1087093642428,1.10555663654699,0.259542530853986,4.25963572486296,2.04760334182628e-05,0.000137433449069654
"YBL055C_mRNA",42.7705169874366,-0.829291411176592,0.331868924697924,-2.49885225599666,0.0124596244273013,0.0344843229782688
"YML089C_mRNA",20.7926984359242,0.76028009596754,0.418871382321154,1.81506812844193,0.0695134403754977,0.139621387423554
"YOL144W_mRNA",33.0545643298284,0.843388159890559,0.402274595354551,2.09654840158928,0.0360335710028735,0.0819156287719556
"YDL246C_mRNA",12.2883573505394,7.45126977312215,2.47801330202835,3.00695309707297,NA,NA
"YDL243C_mRNA",661.754363234492,-1.96345280712462,0.23497434531962,-8.35603054645759,6.48639205270303e-17,2.93648234500227e-15
"YDR387C_mRNA",59.6371013535524,-0.149430927567823,0.360813258925906,-0.414150322559264,0.678764020719838,0.778784642165521
"YMR290C_mRNA",43.7338251986117,-0.327967323919944,0.312650005407464,-1.04899190227909,0.294181845385273,0.426469473021926
"YOR082C_mRNA",15.3250739317815,1.82333948548307,0.61657680781841,2.95719764733685,0.00310449049902341,0.0108468912804908
"YCR031C_mRNA",540.513803843636,-0.48268983592237,0.212341857844874,-2.27317327267146,0.0230157402618892,0.0566940387795777
"YBR293W_mRNA",32.4199051429575,-0.900258399472239,0.357039299875005,-2.52145464039227,0.0116870742245809,0.0326455162782696
"YJL160C_mRNA",3.43557359303436,0.954320083358569,0.89516844093951,1.06607878440953,0.286388029154159,0.417925106867032
"YMR139W_mRNA",110.102110058114,0.195898791623501,0.197934456769395,0.989715458444582,0.322313217031704,0.458237139871453
"YNL105W_mRNA",3.32894029858908,1.39998554409057,1.25236781204095,1.11787090871415,0.263622131337122,0.393415839042778
"YDL094C_mRNA",2.43813494372457,-1.10709145161418,1.06896708549871,-1.03566467726898,0.300358606801869,0.433440994970456
"YDR438W_mRNA",50.121686207441,-0.0283570382025179,0.337802766631872,-0.0839455475313514,0.933099725642665,0.956807069408519
"YDR523C_mRNA",26.4618621601306,0.24684859065121,0.374503639555126,0.659135358322398,0.509808852059217,0.636808928725132
"YDR542W_mRNA",1.96236692587179,0.392064480073512,1.63719201789404,0.2394737305022,0.810738263954413,0.875078187490305
"YIL156W-A_mRNA",6.18838402998579,-1.99978310822766,0.859631995055392,-2.32632465954085,0.020001237465724,0.050868474110875
"YLR466W_mRNA",63.588642665745,-4.80929200332814,2.87477197662924,-1.67292990276299,0.0943410962808202,0.17721809965259
"YPL208W_mRNA",51.1840225849463,-1.02995580536683,0.398633448067403,-2.58371647025637,0.00977421087654082,0.0281842350025094
"YLR054C_mRNA",22.651737738283,-0.710362938465553,0.423264469385788,-1.67829569889573,0.0932893872959799,0.175763417562997
"YER011W_mRNA",8.39580470650717,1.44998025191333,0.83329853878463,1.74004895535775,0.0818504221476375,0.158693170869295
"YLR437C_mRNA",39.979138746967,0.979209643065115,0.322221928675182,3.03892924696697,0.00237420606846627,0.0086481138287007
"YPL102C_mRNA",1.66285516151738,0.946838378964112,1.55879548386481,0.607416680869875,0.543574421135885,0.666249213142378
"YNR069C_mRNA",91.6524339885655,-1.88270701932733,0.285687735909272,-6.59008694697779,4.39569075613523e-11,9.19468251233831e-10
"YDR492W_mRNA",273.630182381053,-1.59491833264799,0.216847062890839,-7.35503774589224,1.90873172906766e-13,5.52399164330175e-12
"YIL115W-A_mRNA",45.4179037054155,2.3464773126641,0.945072823547196,2.48285344176646,0.0130334698612653,0.0357757176183194
"YMR191W_mRNA",203.301756493772,-0.741698578853514,0.22502379223146,-3.29608958900933,0.000980407453358736,0.00407804358337577
"YIL086C_mRNA",29.6648010604783,0.970394942432054,0.373837203444736,2.59576878248156,0.00943795528576088,0.0274393397252993
"YOL072W_mRNA",41.0454073463075,-1.00178293904538,0.334471236519472,-2.9951243325734,0.00274332993817004,0.0097626193981593
"YOR114W_mRNA",20.7621441124378,0.0690468342922428,0.382818681418127,0.180364328189166,0.856866557013931,0.906496451068986
"YIL156W-B_mRNA",68.4945388958712,0.00770616817694233,0.231828057969804,0.0332408779352588,0.973482500242758,0.982786251439726
"YHR094C_mRNA",684.017907775528,-0.879913876366101,0.214417255007979,-4.10374564460009,4.06514388436854e-05,0.000256112146512205
"YOL085C_mRNA",3.91595001739407,-0.937206068588354,1.59579887976374,-0.587295855682709,0.557005024016159,0.678120983905958
"YFL031C-A_mRNA",15.9290603337442,0.360307785519579,0.493718740821157,0.729783489523433,0.465522538132294,0.596901041206247
"YHL031C_mRNA",88.0398802936559,0.807098540782278,0.222534526335939,3.62684637782399,0.000286903868845275,0.00141399433961225
"YOR385W_mRNA",18.5098019070619,-5.05081878615426,1.25816437061631,-4.01443476235155,5.95884217578172e-05,0.000359819411725185
"YGL087C_mRNA",78.1721144977137,0.478399951061413,0.237009693930318,2.01848263304397,0.0435410210862213,0.0952861683284327
"YMR244C-A_mRNA",62.1296410860864,0.569414912789228,0.288719871938084,1.97220547711845,0.0485861546838723,0.104033462292697
"YNL306W_mRNA",216.113822286687,0.10877463962635,0.167483071252012,0.649466473317038,0.516036910103072,0.642309885356102
"YOR214C_mRNA",10.839089864272,2.02681142899605,0.618200678189676,3.27856552168677,0.00104336139566406,0.00430386267292344
"YAL037W_mRNA",13.9462992960577,-0.714110963429778,0.668114437226946,-1.06884528104758,0.285139391769708,0.417081344342582
"YLR217W_mRNA",16.298316388415,-2.43842165995877,0.528351645039291,-4.61514917735789,3.92813060624586e-06,3.21245055256597e-05
"YLL056C_mRNA",132.765901224832,-0.223065004361646,0.191299732231647,-1.16604974695696,0.24359433278715,0.371487218769239
"YOL119C_mRNA",157.185868994958,-0.888977778695009,0.266039679710726,-3.3415232632276,0.000833200340394122,0.00354894069718948
"YJL204C_mRNA",40.9043171258728,0.0672420735406426,0.330748882190368,0.203302496732069,0.838898604168958,0.894054036190155
"YAL016W_mRNA",283.386461756383,-0.532217985665749,0.206593762516149,-2.57615708811221,0.00999052463972952,0.0287556517559517
"YIL146C_mRNA",111.802292944469,-0.0403332162132264,0.222804119638245,-0.181025450870089,0.856347599130823,0.906254474966785
"YCL011C_mRNA",121.150755638624,0.268003163995283,0.200346656979749,1.33769720960391,0.18099516098014,0.294064939833922
"YLR128W_mRNA",21.6916468098011,-0.97923669439633,0.402897131842548,-2.43048812464372,0.0150785001753439,0.0403749616017447
"YKL131W_mRNA",9.04308916291544,0.852354888798145,0.623998642012299,1.36595632011222,0.171952673701917,0.282633829336813
"YDR018C_mRNA",26.6539983435377,0.786636295277389,0.387430699388791,2.03039226503832,0.042316682278167,0.0931584342754506
"YOR019W_mRNA",84.0842148404058,2.90089246954132,0.335175410179896,8.65484871931489,4.93565877597591e-18,2.48271470810598e-16
"YNL288W_mRNA",70.6220455152708,-0.169706267396327,0.245089008207839,-0.692427084499905,0.488669161772068,0.617830669720999
"YCL040W_mRNA",555.932918557595,0.23964599178859,0.215575779998565,1.11165545494111,0.266286319274054,0.396538347493705
"YER158W-A_mRNA",34.1979163946994,1.94275920263107,0.430076952913277,4.51723625149201,6.26519913115489e-06,4.80155164368315e-05
"YNL191W_mRNA",96.1708591178247,0.770980129566504,0.213657342175464,3.60848881539181,0.000307985789623449,0.00149924265332828
"YBR115C_mRNA",274.400487438899,-0.510545989462911,0.294909398959125,-1.73119605975553,0.0834168019003897,0.160844444917758
"YGL156W_mRNA",651.260688523931,-0.302045160627506,0.168636071569104,-1.79110648046455,0.0732762094292651,0.1458620023124
"YNL150W_mRNA",89.7757678710763,1.32462252173637,0.260397314115235,5.08692851244301,3.63908924495779e-07,3.66103930707023e-06
"YCR052W_mRNA",15.1789188492211,0.158478022832499,0.457566487884738,0.346349715349827,0.729079910433426,0.81627070700001
"YGL015C_mRNA",1.32071995187349,0.570914872237231,1.64723140570577,0.346590570249975,0.728898931154544,0.816212266017226
"YOR206W_mRNA",146.497806416478,0.300489990033369,0.23922258205843,1.25611047020626,0.209075920547608,0.329714651512999
"YMR091C_mRNA",108.902616626156,0.0875206235502913,0.244829071268481,0.357476434872866,0.720735164581899,0.810561385176919
"YMR173W-A_mRNA",598.270659494182,2.98831860388622,0.255271913740724,11.7064136045982,1.18173223272423e-31,1.74181834674563e-29
"YJR105W_mRNA",296.682167744787,-1.32216386997333,0.258050472838823,-5.12366381440093,2.99655066768661e-07,3.09815289440669e-06
"YHL002W_mRNA",164.956472535972,1.15051174624122,0.240951276825964,4.77487300086906,1.79820697808366e-06,1.57853681815709e-05
"YCR100C_mRNA",8.6617669309516,-1.65421493694034,0.709491400663344,-2.33155036888921,0.0197243573723462,0.0502665770108284
"YPL217C_mRNA",252.858198592376,0.0485121598354699,0.265731828116019,0.182560591929882,0.855142807690323,0.905579802028616
"YOR341W_mRNA",228.184995090848,-1.26832862907484,0.290572478973962,-4.36493033873484,1.27163276019102e-05,8.97506507137051e-05
"YDL189W_mRNA",22.9802921467012,1.1605248373539,0.400206342414216,2.89981620569308,0.00373381526712835,0.0126415177153096
"YLR279W_mRNA",13.7821825172941,1.00560353013779,0.52561274602918,1.9132023295378,0.0557221554199919,0.116211589684735
"YER056C-A_mRNA",187.724614112012,-0.142587662357663,0.262165580306119,-0.543883991907594,0.586521305464321,0.703514767985024
"YMR180C_mRNA",65.4860746494981,0.594031856925584,0.248858975064707,2.38702203435149,0.0169854732151797,0.044614143902946
"YNL097C_mRNA",71.4879098007228,-0.0190249829111143,0.235888812605454,-0.0806523323466607,0.935718446531331,0.958400697174463
"YDR508C_mRNA",17.9881262287893,-1.23801601960425,0.440543957583256,-2.81019861535676,0.0049510935611389,0.0159776125206203
"YHR045W_mRNA",76.4764561718105,-1.06206160777517,0.287884305863877,-3.68919592399509,0.000224963928814087,0.00114985595227717
"YML020W_mRNA",77.0709416361106,-0.0740857596294773,0.264074401150745,-0.28054881240528,0.779056481475417,0.853085691014373
"YGR251W_mRNA",49.4614781768982,0.418082095705818,0.346874703211942,1.20528274859631,0.228094167083382,0.353116959202363
"YPL197C_mRNA",86.6329236229351,0.558391010172397,0.258709512893953,2.15837061392205,0.0308990285652117,0.07218505088327
"YBR031W_mRNA",437.450409749277,-0.648252127099177,0.228556592509018,-2.83628715314173,0.00456413893037254,0.0150116826884801
"YDR462W_mRNA",42.9667316359786,0.219524803763897,0.325720735256674,0.67396631531888,0.500332729399253,0.628440118694503
