"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL071C_mRNA",40.6969625875989,0.264740581306608,0.444966757129576,0.594967100496263,0.551865462649437,0.694268221967474
"YLL050C_mRNA",460.592930489296,0.563605629651612,0.179629994108189,3.13759198428831,0.00170341815972898,0.00695196831308627
"YMR172W_mRNA",56.7681257688057,-0.643255460243741,0.248471422425057,-2.58885087856635,0.00962967855475788,0.0307935936831763
"YOR185C_mRNA",170.306347498578,-0.265383186362241,0.174946221161723,-1.51694151837048,0.129281449942568,0.245398571349505
"YLL032C_mRNA",61.6394163415737,-0.210734675633316,0.280552239036754,-0.751142376752545,0.452566974759327,0.608866373598942
"YBR225W_mRNA",82.8156352166797,-0.883586560662671,0.244259574205072,-3.61740809357525,0.000297567940109469,0.00154083791210279
"YEL041W_mRNA",86.7342777389609,-0.558955208551648,0.257217444879153,-2.17308436764178,0.0297739680364694,0.0777854119600754
"YOR237W_mRNA",11.5634026429467,-0.647355810414647,0.540039487663229,-1.19871939960498,0.230637072124147,0.378600819249637
"YMR027W_mRNA",280.153790440729,-0.425048448679866,0.185814698939045,-2.28748560316695,0.0221674948135214,0.0611923267108443
"YBR182C-A_mRNA",3.24967011379226,-0.871323645222329,0.90532388734369,-0.962444112436797,0.335826564015155,0.493306045619802
"YKL103C_mRNA",459.462737891298,-0.0545143781725995,0.268100659151451,-0.203335487294733,0.838872819995244,0.904596220037723
"YOL048C_mRNA",53.1926802913807,-0.343988464434859,0.31548053896542,-1.09036349932369,0.275553053775257,0.429843774262264
"YIR015W_mRNA",28.6408276760745,-0.799223974092655,0.39660375380102,-2.015169968597,0.0438868430197371,0.105321776243504
"YNR017W_mRNA",75.1087093642428,0.207850124187885,0.27064509246556,0.767980391938327,0.442498834181309,0.599718272495855
"YBL055C_mRNA",42.7705169874366,-0.418482613102251,0.294646004468354,-1.4202894549931,0.155523429841669,0.281952945748426
"YML089C_mRNA",20.7926984359242,2.06824393067736,0.523860884415454,3.94807856857874,7.87809515970973e-05,0.000481034365339502
"YOL144W_mRNA",33.0545643298284,0.372073867500426,0.416967480156458,0.892333060028599,0.372214439137317,0.531447424026203
"YDL246C_mRNA",12.2883573505394,-5.51642973546247,2.48867719359106,-2.21661119797642,NA,NA
"YDL243C_mRNA",661.754363234492,4.40542011655435,0.248537910436725,17.7253446317837,2.6727037785828e-70,1.88217739429531e-67
"YDR387C_mRNA",59.6371013535524,0.116412124514413,0.354927394394527,0.327988558654371,0.74292031342629,0.839477437421256
"YMR290C_mRNA",43.7338251986117,0.522310342253048,0.307681921907176,1.69756591162552,0.089589721178416,0.186292537017323
"YOR082C_mRNA",15.3250739317815,0.108771406896654,0.657174241390232,0.16551380143347,0.868539587676239,0.923427144418625
"YCR031C_mRNA",540.513803843636,0.500108322411351,0.211258424944805,2.36728226361629,0.0179192605167221,0.0516237605249931
"YBR293W_mRNA",32.4199051429575,0.216726572895611,0.326231654020109,0.664333366259582,0.506476970108898,0.654444655769663
"YJL160C_mRNA",3.43557359303436,-0.259041310547055,0.914436836807041,-0.283279610051094,0.77696250622193,0.862414774857196
"YMR139W_mRNA",110.102110058114,0.071043675603258,0.19598827582202,0.362489415784106,0.716986331501033,0.820856099901291
"YNL105W_mRNA",3.32894029858908,-2.09957615460087,1.19465773603588,-1.75747085652137,0.0788375851053225,0.168751305098796
"YDL094C_mRNA",2.43813494372457,2.23680174631609,1.18557627704715,1.88667890005961,0.0592035273362315,0.134539962802809
"YDR438W_mRNA",50.121686207441,-1.36652139911219,0.308439360503804,-4.43043779133805,9.40419739078136e-06,7.29544713130627e-05
"YDR523C_mRNA",26.4618621601306,-0.972908109911726,0.345971759918559,-2.81210267028947,0.00492187901362115,0.0173690808398279
"YDR542W_mRNA",1.96236692587179,-0.68246178655644,1.58608566268589,-0.430280534407426,0.666991585142752,0.785176944025773
"YIL156W-A_mRNA",6.18838402998579,1.48983867937617,0.772957463654564,1.92745234948916,0.0539232809974309,0.124686521328609
"YLR466W_mRNA",63.588642665745,-4.87540231284183,2.62298984732203,-1.85871947534201,0.0630669114723065,0.141441442542251
"YPL208W_mRNA",51.1840225849463,0.41716754353532,0.381753008685114,1.09276818792388,0.274495592393308,0.428721800046522
"YLR054C_mRNA",22.651737738283,-0.885642087560496,0.355218847102653,-2.49322944090452,0.0126587017493509,0.0390227877856937
"YER011W_mRNA",8.39580470650717,-3.19553044392823,0.756183667452,-4.22586546294465,2.38024176143448e-05,0.000167808368008585
"YLR437C_mRNA",39.979138746967,0.458763679554565,0.342256747487796,1.34040799172534,0.180112738949433,0.313648702355365
"YPL102C_mRNA",1.66285516151738,-1.25992376534682,1.49450434107918,-0.84303787598036,0.399207261083226,0.558044909736543
"YNR069C_mRNA",91.6524339885655,0.790009536501022,0.260564621464686,3.0319140490379,0.00243008388205049,0.00947807485811446
"YDR492W_mRNA",273.630182381053,-0.646539233049826,0.198435546019701,-3.25818254853209,0.00112128251417395,0.00487427199920062
"YIL115W-A_mRNA",45.4179037054155,-0.139654713072417,0.956216531844036,-0.146049256022689,0.883882504588805,0.934297417292169
"YMR191W_mRNA",203.301756493772,0.800248567269729,0.222367896757338,3.59875943847691,0.000319738779123437,0.0016395666521718
"YIL086C_mRNA",29.6648010604783,-0.291772095338172,0.378770236474175,-0.770314209622608,0.441113529381707,0.598411290501126
"YOL072W_mRNA",41.0454073463075,-0.0190850402872088,0.299721630191465,-0.0636758857711308,0.949228306138135,0.974705959617359
"YOR114W_mRNA",20.7621441124378,0.583751247403262,0.390314393771084,1.49559241657285,0.13475990053732,0.25299110696606
"YIL156W-B_mRNA",68.4945388958712,1.05454774682078,0.243533014827908,4.33020445940759,1.48970958737564e-05,0.000110689089856821
"YHR094C_mRNA",684.017907775528,-4.10995680931706,0.179002223877583,-22.960367308776,1.16089169246056e-116,2.45257718227168e-113
"YOL085C_mRNA",3.91595001739407,-3.65803769665429,1.10388506617511,-3.3137849299195,0.000920422748244207,0.0041024186908381
"YFL031C-A_mRNA",15.9290603337442,0.201280798646157,0.497763525186714,0.404370325388257,0.685940418232244,0.799026748995327
"YHL031C_mRNA",88.0398802936559,0.225766845924799,0.229995491853612,0.981614222545261,0.326289938033443,0.482394594647996
"YOR385W_mRNA",18.5098019070619,-2.70023916718844,0.456532330967524,-5.91467237701622,3.32536818005681e-09,5.14053256712197e-08
"YGL087C_mRNA",78.1721144977137,-0.0604604395899366,0.236764236105151,-0.255361369540141,0.798444004533404,0.877137090537069
"YMR244C-A_mRNA",62.1296410860864,0.530725807803885,0.298327686757662,1.77900285947983,0.0752392931595545,0.162753119469371
"YNL306W_mRNA",216.113822286687,0.32130481865005,0.167414975843837,1.91921192850609,0.0549575185165015,0.126597859780938
"YOR214C_mRNA",10.839089864272,-0.505439656538302,0.655206145381833,-0.771420811756501,0.4404575431989,0.59790531351352
"YAL037W_mRNA",13.9462992960577,-1.79434123837405,0.545920024598861,-3.28682070179148,0.00101325325626584,0.00447214424666637
"YLR217W_mRNA",16.298316388415,2.50112998259439,0.500714262068468,4.9951243095456,5.87978812489353e-07,5.99133394462624e-06
"YLL056C_mRNA",132.765901224832,0.597698566088668,0.190606876637532,3.13576601554246,0.00171405898714804,0.00699080171206194
"YOL119C_mRNA",157.185868994958,0.123927507885042,0.25712916811239,0.481965965957133,0.629830123617218,0.759198045546963
"YJL204C_mRNA",40.9043171258728,-0.721747846747473,0.310806590153268,-2.32217678007264,0.0202234187423346,0.0568408106381005
"YAL016W_mRNA",283.386461756383,-0.0980160685616442,0.201431182058331,-0.486598289103325,0.626543036246156,0.756530722752551
