"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YPL071C_mRNA",40.6969625875989,-0.216583292323399,0.457323251639438,-0.473589067573054,0.635792972920898,0.716893055038721
"YLL050C_mRNA",460.592930489296,0.66795321157384,0.180397336983435,3.70267778196291,0.000213335764439571,0.000732460495676058
"YMR172W_mRNA",56.7681257688057,-0.571559463882512,0.25567726158947,-2.23547240896314,0.0253863510357278,0.0509818418455142
"YOR185C_mRNA",170.306347498578,0.924018632658131,0.168195433509168,5.49372009322574,3.93554089979269e-08,2.69367799383219e-07
"YLL032C_mRNA",61.6394163415737,0.186632241464706,0.280700063721148,0.664881364794095,0.506126375786671,0.603883465688238
"YBR225W_mRNA",82.8156352166797,-0.546261377169414,0.245383450228846,-2.22615411373492,0.0260038603215201,0.051974918548658
"YEL041W_mRNA",86.7342777389609,-1.08072076179544,0.270453699620819,-3.99595480967955,6.4434025341474e-05,0.000252243886729007
"YOR237W_mRNA",11.5634026429467,-0.807486584005752,0.56775378098527,-1.42224783180564,0.15495431753837,0.233889131830958
"YMR027W_mRNA",280.153790440729,-0.517051240338165,0.18850278922382,-2.74293681524383,0.00608924010584512,0.0145416743748479
"YBR182C-A_mRNA",3.24967011379226,-1.06720824462261,0.973193055680941,-1.09660487032132,0.272814157546039,0.371130313485039
"YKL103C_mRNA",459.462737891298,1.64428139709223,0.265269522649396,6.19853114172283,5.69925302235439e-10,5.05908482572579e-09
"YOL048C_mRNA",53.1926802913807,0.895474627112883,0.302450285928578,2.96073328006159,0.00306907597815249,0.00793627235802958
"YIR015W_mRNA",28.6408276760745,0.305212214722616,0.379282671962868,0.804709092411414,0.420987571444971,0.521990849679624
"YNR017W_mRNA",75.1087093642428,1.31340676073487,0.262465035233806,5.00412087105194,5.61175390759958e-07,3.20137680165312e-06
"YBL055C_mRNA",42.7705169874366,-1.24777402427884,0.326028341869601,-3.8271949522042,0.000129611859123705,0.000465691589073719
"YML089C_mRNA",20.7926984359242,2.8285240266449,0.517745014683401,5.46316033264854,4.67731786229577e-08,3.16380369383464e-07
"YOL144W_mRNA",33.0545643298284,1.21546202739099,0.409724756003405,2.96653304341924,0.00301177995643038,0.00780403162872272
