"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009191","ribonucleoside diphosphate catabolic process","21/1875","32/5796",0.65625,2.0286,4.03448827913056,0.000111141603346477,0.0114805461762601,0.0107452496140582,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YER005W/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",21
"GO:0015980","energy derivation by oxidation of organic compounds","77/1875","167/5796",0.461077844311377,1.42528383233533,3.85611892278619,0.000116937857996657,0.0114805461762601,0.0107452496140582,"YMR105C/YNR001C/YIL050W/YFR017C/YFL018C/YKR058W/YJR120W/Q0275/YGL256W/YLR164W/YNL169C/YFR021W/YCR005C/YFR049W/YOR002W/YBR238C/YBR010W/Q0250/YIL057C/YKL148C/YNL117W/YOR178C/YGL226W/YPR191W/YEL011W/YIR031C/YNR074C/YPR001W/Q0105/YDR148C/YER054C/YJR121W/YJL137C/YPR184W/YLR044C/YKR046C/YEL039C/YPL262W/YLR154W-C/YFL053W/YFR003C/YER067W/YMR311C/YDL085W/YKL055C/YGL191W/YMR002W/YNL037C/YPL271W/YLR258W/YER065C/YLR174W/YLR087C/YNL242W/YMR256C/YDR031W/YLR134W/YFR015C/YMR030W/YBL030C/YMR145C/YML070W/YDR529C/YJL045W/YOR065W/YOL086C/YER059W/YOL126C/YJL116C/YOR136W/YJL166W/YFR033C/YKL085W/YMR081C/Q0045/YOR355W/YGL134W",77
"GO:0098660","inorganic ion transmembrane transport","85/1875","190/5796",0.447368421052632,1.38290526315789,3.71082543497196,0.000192559815987253,0.0147492177706851,0.0138045720233968,"YHR094C/YPL092W/YMR319C/Q0275/YBR298C/YML030W/YOR137C/YLR411W/YKL217W/YHR039C-A/YFL050C/YPR124W/YDR343C/YDL138W/YGR217W/YLL015W/YHR175W/YDR536W/Q0250/YPR020W/YNL291C/YNL305C/YEL065W/YPR191W/YML123C/YHR096C/YOR378W/YGL008C/Q0105/YOL027C/YHR092C/YOL158C/YGL254W/YJR121W/YKL016C/YCR037C/YER053C/YLR092W/YBR296C/YMR058W/YNR072W/Q0130/YNL142W/YDR342C/YOR079C/YPR201W/YDR270W/YEL069C/YBR295W/YGL191W/YLR447C/YML081C-A/YKL120W/YBR127C/YCL005W-A/YMR279C/YPL271W/YOL130W/YOL077W-A/YOR390W/YLR295C/YMR256C/YEL027W/YDR345C/YHL040C/Q0085/YBL099W/YGL255W/YIL121W/YGR121C/YPR128C/YDR529C/YOR065W/YBR235W/YJL166W/YFR033C/YDR322C-A/YCR023C/Q0045/YPL036W/YIL166C/YML116W/YHL008C/YDL183C/YPL078C",85
"GO:0072526","pyridine-containing compound catabolic process","22/1875","35/5796",0.628571428571429,1.94304,3.86940451221241,0.000195749937679717,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YHR202W/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YPR127W/YCR012W/YKL060C",22
"GO:0006812","monoatomic cation transport","91/1875","206/5796",0.441747572815534,1.36553009708738,3.69385448614376,0.000200427819012088,0.0147492177706851,0.0138045720233968,"YHR094C/YGL160W/YDL206W/YNR055C/YMR319C/Q0275/YBR298C/YML030W/YOR137C/YLR411W/YAL048C/YKL217W/YHR039C-A/YLR214W/YOL152W/YFL050C/YPR124W/YDR343C/YDL138W/YGR217W/YLL015W/YLR443W/YHR175W/YDR536W/Q0250/YPR020W/YNL291C/YGR191W/YOR381W/YNL305C/YEL065W/YOR382W/YPR191W/YML123C/YHR096C/YGL008C/Q0105/YOL027C/YHR092C/YOL158C/YOR384W/YJR121W/YKL016C/YER053C/YLL051C/YBR296C/YMR058W/YBR290W/YNR072W/YJR106W/Q0130/YDR506C/YDR342C/YLR241W/YOR079C/YDR270W/YEL069C/YBR295W/YGL191W/YOR383C/YLR447C/YML081C-A/YNL259C/YBR127C/YCL005W-A/YPL271W/YOL130W/YOL077W-A/YLL009C/YLR295C/YMR256C/YEL027W/YDR345C/YHL040C/Q0085/YBL099W/YGL255W/YBL030C/YIL121W/YPR128C/YDR529C/YOR065W/YBR235W/YJL166W/YFR033C/YDR322C-A/YMR034C/Q0045/YPL036W/YDL183C/YPL078C",91
"GO:0009134","nucleoside diphosphate catabolic process","21/1875","33/5796",0.636363636363636,1.96712727272727,3.85252287087129,0.000212945205944053,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YER005W/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",21
"GO:0019364","pyridine nucleotide catabolic process","21/1875","33/5796",0.636363636363636,1.96712727272727,3.85252287087129,0.000212945205944053,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YHR202W/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",21
"GO:0006096","glycolytic process","20/1875","31/5796",0.645161290322581,1.99432258064516,3.83828685165981,0.000229766124648181,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
"GO:0009137","purine nucleoside diphosphate catabolic process","20/1875","31/5796",0.645161290322581,1.99432258064516,3.83828685165981,0.000229766124648181,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
"GO:0009181","purine ribonucleoside diphosphate catabolic process","20/1875","31/5796",0.645161290322581,1.99432258064516,3.83828685165981,0.000229766124648181,0.0147492177706851,0.0138045720233968,"YJR009C/YAL038W/YDR050C/YOL056W/YJL052W/YDL021W/YGL253W/YMR205C/YPL075W/YHR174W/YGR240C/YBR196C/YOL136C/YKL152C/YOR347C/YLR446W/YOR344C/YGR254W/YCR012W/YKL060C",20
